"term","Hypertension (Prevalence)_OR_sig","Diabetes (Prevalence)_OR_sig","Dyslipidemia (Prevalence)_OR_sig","Hypertension (Awareness)_OR_sig","Diabetes (Awareness)_OR_sig","Dyslipidemia (Awareness)_OR_sig","Hypertension (Prevalence)_p.value","Diabetes (Prevalence)_p.value","Dyslipidemia (Prevalence)_p.value","Hypertension (Awareness)_p.value","Diabetes (Awareness)_p.value","Dyslipidemia (Awareness)_p.value"
"strata1_0_1_2","4.42 (1.30–15.01)*","2.22 (0.27–18.38)","12.66 (1.55–103.34)*","0.56 (0.05–6.02)","445341.02 (NaN–NaN)","0.00 (NaN–NaN)",0.0171971014108305,0.460971255312092,0.017818192002269,0.630725628245607,NA,NA
"strata2_0_1_2","2.93 (0.86–9.93)","2.45 (0.30–20.24)","13.84 (1.70–112.94)*","0.84 (0.08–9.21)","601145.71 (NaN–NaN)","0.00 (NaN–NaN)",0.0851125593467381,0.406083304333889,0.0141346413073101,0.88978311184204,NA,NA
"strata0_1_1_2","3.36 (1.02–11.13)*","2.05 (0.25–16.58)","8.77 (1.09–70.45)*","0.47 (0.04–4.92)","286249.70 (NaN–NaN)","0.00 (NaN–NaN)",0.046885107937087,0.502665807610965,0.041119414605159,0.527276651710811,NA,NA
"strata1_1_1_2","4.06 (1.19–13.81)*","2.03 (0.24–16.92)","15.71 (1.92–128.50)*","0.38 (0.03–4.06)","326737.78 (NaN–NaN)","0.00 (NaN–NaN)",0.0248064587890816,0.512540386336185,0.0102246899197709,0.420159906885932,NA,NA
"strata2_1_1_2","4.41 (1.31–14.89)*","2.22 (0.27–18.38)","14.77 (1.81–120.33)*","0.53 (0.05–5.63)","479874.74 (NaN–NaN)","0.00 (NaN–NaN)",0.0167413847452508,0.459296794948988,0.0118559293875246,0.595121636841975,NA,NA
"strata0_0_0_3","5.28 (1.51–18.37)**","2.03 (0.24–17.50)","9.15 (1.10–76.14)*","1.12 (0.10–12.58)","272464.67 (NaN–NaN)","0.00 (NaN–NaN)",0.00899548392875531,0.518041651834232,0.0406821067925765,0.927692332599553,NA,NA
"strata1_0_0_3","5.01 (1.30–19.29)*","1.85 (0.20–17.41)","12.84 (1.45–113.85)*","0.58 (0.05–7.39)","2597975.43 (NaN–NaN)","0.00 (NaN–NaN)",0.0191035969315068,0.590723488364217,0.0218693589073477,0.677870643395061,NA,NA
"strata2_0_0_3","5.26 (1.42–19.55)*","5.16 (0.59–45.38)","13.45 (1.55–117.13)*","0.63 (0.05–7.60)","653354.15 (NaN–NaN)","0.00 (NaN–NaN)",0.0131045068828472,0.139261365145611,0.0185605875765814,0.717246895481165,NA,NA
"strata0_1_0_3","3.80 (1.07–13.53)*","2.07 (0.24–17.96)","12.88 (1.53–108.35)*","0.83 (0.07–9.50)","50329.45 (NaN–NaN)","0.00 (NaN–NaN)",0.0391889463034813,0.511044918778216,0.0186891707540565,0.877903038001279,NA,NA
"strata1_1_0_3","6.48 (1.49–28.09)*","3.35 (0.31–36.65)","24.17 (2.42–241.63)**","0.49 (0.04–6.55)","203569.07 (NaN–NaN)","0.00 (NaN–NaN)",0.0125863652598639,0.322380274744848,0.00669770216306447,0.592770783077655,NA,NA
"strata2_1_0_3","15.12 (2.95–77.43)**","3.59 (0.35–37.13)","8.38 (0.85–82.56)","0.70 (0.05–9.30)","2124171165209954559460931078953786226501367937380308632992749378816122809240049434604724005943589010663276544.00 (NaN–NaN)","0.00 (NaN–NaN)",0.00111533464055762,0.284144101161636,0.0686544121252992,0.784114031035217,NA,NA
"strata0_0_1_3","3.56 (1.08–11.73)*","2.91 (0.36–23.43)","12.80 (1.60–102.66)*","0.69 (0.07–7.17)","426261.85 (NaN–NaN)","0.00 (NaN–NaN)",0.0372094681347957,0.316533394724847,0.0163720007789491,0.752822555228764,NA,NA
"strata1_0_1_3","5.17 (1.54–17.35)**","3.31 (0.41–27.01)","16.91 (2.08–137.11)**","0.80 (0.08–8.52)","524928.19 (NaN–NaN)","0.00 (NaN–NaN)",0.00788438712383695,0.264080194925522,0.00809811465283967,0.852943136986084,NA,NA
"strata2_0_1_3","4.70 (1.39–15.88)*","3.77 (0.46–30.94)","13.44 (1.65–109.53)*","1.13 (0.10–12.26)","844776.67 (NaN–NaN)","0.00 (NaN–NaN)",0.0127639007047039,0.217320053635859,0.0152087059324668,0.917922001855652,NA,NA
"strata0_1_1_3","3.99 (1.21–13.19)*","2.55 (0.32–20.58)","9.26 (1.15–74.36)*","0.47 (0.05–4.96)","244649.33 (NaN–NaN)","0.00 (NaN–NaN)",0.023080116515768,0.380308631763925,0.0361689335091612,0.533586817942253,NA,NA
"strata1_1_1_3","6.31 (1.87–21.30)**","3.07 (0.37–25.24)","15.53 (1.91–126.39)*","0.43 (0.04–4.56)","338096.33 (NaN–NaN)","0.00 (NaN–NaN)",0.00302506315515087,0.296171458778273,0.0103554708722563,0.482765812716266,NA,NA
"strata2_1_1_3","5.59 (1.66–18.81)**","3.77 (0.46–30.85)","19.40 (2.38–157.79)**","0.46 (0.04–4.92)","563060.67 (NaN–NaN)","0.00 (NaN–NaN)",0.00541757018772764,0.21641789855991,0.00556279308113299,0.522595646288915,NA,NA
